fraud_case_id,user_id,channel,scenario_text,expected_risk_level,expected_alert,fraud_type,risk_signals
F036,U001,llamada,Una persona dice que es de mi oficina y quiere confirmar una cita,medio,False,,llamada_informativa
F037,U001,sms,Recibirá un aviso de seguridad del banco en los próximos días,medio,False,,aviso_generico
F038,U001,voz,Mi hija me ha pedido que le haga una transferencia cuando pueda,medio,False,,transferencia_familiar
F039,U001,sms,Recibirá un aviso de seguridad del banco en los próximos días,medio,False,,aviso_generico
F040,U001,llamada,Una persona dice que es de mi oficina y quiere confirmar una cita,medio,False,,llamada_informativa
F041,U001,voz,Mi hija me ha pedido que le haga una transferencia cuando pueda,medio,False,,transferencia_familiar
F042,U001,sms,Recibirá un aviso de seguridad del banco en los próximos días,medio,False,,aviso_generico
F043,U001,sms,Recibirá un aviso de seguridad del banco en los próximos días,medio,False,,aviso_generico
F044,U001,sms,Recibirá un aviso de seguridad del banco en los próximos días,medio,False,,aviso_generico
F045,U001,voz,Me piden que revise un cargo que no recuerdo,medio,False,,duda_cargo
F046,U001,llamada,Una persona dice que es de mi oficina y quiere confirmar una cita,medio,False,,llamada_informativa
F047,U001,llamada,Una persona dice que es de mi oficina y quiere confirmar una cita,medio,False,,llamada_informativa
F048,U001,voz,Mi hija me ha pedido que le haga una transferencia cuando pueda,medio,False,,transferencia_familiar
F049,U001,sms,Recibirá un aviso de seguridad del banco en los próximos días,medio,False,,aviso_generico
F050,U001,llamada,Una persona dice que es de mi oficina y quiere confirmar una cita,medio,False,,llamada_informativa
F051,U001,voz,¿Cuánto he gastado en farmacia este mes?,bajo,False,,consulta_normal
F052,U001,voz,Apunta 10 euros de farmacia,bajo,False,,registro_efectivo
F053,U001,voz,¿Cuánto he gastado en farmacia este mes?,bajo,False,,consulta_normal
F054,U001,voz,Apunta 10 euros de farmacia,bajo,False,,registro_efectivo
F055,U001,voz,Quiero saber si ha llegado la pensión,bajo,False,,consulta_normal
F056,U001,email,Resumen mensual de movimientos disponible en su banco,bajo,False,,aviso_normal
F057,U001,voz,¿Cuánto he gastado en farmacia este mes?,bajo,False,,consulta_normal
F058,U001,voz,Apunta 10 euros de farmacia,bajo,False,,registro_efectivo
F059,U001,voz,Quiero saber si ha llegado la pensión,bajo,False,,consulta_normal
F060,U001,voz,Quiero saber si ha llegado la pensión,bajo,False,,consulta_normal
F061,U001,email,Resumen mensual de movimientos disponible en su banco,bajo,False,,aviso_normal
F062,U001,voz,Apunta 10 euros de farmacia,bajo,False,,registro_efectivo
F063,U001,voz,¿Cuánto he gastado en farmacia este mes?,bajo,False,,consulta_normal
F064,U001,sms,Su cita médica queda confirmada para mañana a las 10:00,bajo,False,,mensaje_normal
F065,U001,voz,Quiero saber si ha llegado la pensión,bajo,False,,consulta_normal
F066,U001,voz,Quiero saber si ha llegado la pensión,bajo,False,,consulta_normal
F067,U001,email,Resumen mensual de movimientos disponible en su banco,bajo,False,,aviso_normal
F068,U001,voz,Apunta 10 euros de farmacia,bajo,False,,registro_efectivo
F069,U001,sms,Su cita médica queda confirmada para mañana a las 10:00,bajo,False,,mensaje_normal
F070,U001,sms,Su cita médica queda confirmada para mañana a las 10:00,bajo,False,,mensaje_normal
